"Nama","Kelas","NISN","Email","Agama","Alamat","No. HP Wali"
"","","","","Islam, Kristen, Katolik, Hindu, Buddha, Konghucu","",""
"Wajib","Wajib","Wajib","Wajib","Opsional","Opsional","Opsional"
"Budi Santoso","X IPA 1","1000000","siswa001@sekolah.id","","",""
"Siswa 002","X IPA 2","1000000002","siswa002@sekolah.id","","",""
"Siswa 003","X IPA 3","1000000003","siswa003@sekolah.id","","",""
"Siswa 004","XI IPA 1","1000000004","siswa004@sekolah.id","","",""
"Siswa 005","XI IPA 2","1000000005","siswa005@sekolah.id","","",""
"Siswa 006","XI IPA 3","1000000006","siswa006@sekolah.id","","",""
"Siswa 007","XII IPA 1","1000000007","siswa007@sekolah.id","","",""
"Siswa 008","XII IPA 2","2000000100","siswa008@sekolah.id","","",""
"Siswa 009","XII IPA 3","2000000101","siswa009@sekolah.id","","",""
"Siswa 010","X IPA 1","2000000102","siswa010@sekolah.id","","",""
