id,tenant_id,user_id,hired_at,additional_identifiers,gender,date_of_birth,phone_number
640fa149-5996-5bae-a476-508d42fee539,ba6e3b18-bccb-5149-adae-530286c8bd10,b332869f-ef26-54d2-9f02-37b5392d507e,2022-07-01T00:00:00,"{""nip"": ""198609212008334130"", ""nuptk"": ""6413603961345154""}",FEMALE,1971-10-15T00:00:00,0869879730
b0202fb3-4ca2-5a4f-919b-3ccbf7f219d7,ba6e3b18-bccb-5149-adae-530286c8bd10,b1a94b16-09c4-5eb4-9b6c-0e1c47826581,2005-11-01T00:00:00,"{""nip"": ""198902042014956436"", ""nuptk"": ""5050128811452730""}",FEMALE,1971-11-11T00:00:00,+62 (070) 753-6455
00c3af43-13d5-5c2c-8f75-e36d060383a7,ba6e3b18-bccb-5149-adae-530286c8bd10,550fd960-bd93-57e7-9be9-79dd48a95c07,2007-12-01T00:00:00,"{""nip"": ""197806122017882206"", ""nuptk"": ""6744048517839157""}",FEMALE,1981-02-18T00:00:00,+62 (188) 447 2940
971bdd6a-4506-526d-bd8e-9c87380e4e9b,ba6e3b18-bccb-5149-adae-530286c8bd10,1376c92a-2485-5391-88d6-0d86d24d957f,2016-06-01T00:00:00,"{""nip"": ""197908052014125941"", ""nuptk"": ""7402880756583305""}",MALE,1973-07-03T00:00:00,+62 (069) 871 6897
0230c193-200d-5bed-9ead-34842c6d18b4,ba6e3b18-bccb-5149-adae-530286c8bd10,e8baead1-8fc2-501c-8c2f-d5bc67cf41d8,2020-07-01T00:00:00,"{""nip"": ""198809162008546109"", ""nuptk"": ""8228719896771077""}",FEMALE,1986-07-19T00:00:00,(097) 880-9320
0e37cefe-e1fa-5ee7-a661-b1033d27e458,ba6e3b18-bccb-5149-adae-530286c8bd10,c16b9270-d71a-5fd8-bcfe-c6c8400fd2c8,2009-01-01T00:00:00,"{""nip"": ""198509172005703472"", ""nuptk"": ""7897950369936931""}",MALE,1996-12-20T00:00:00,(072) 731-7784
e47aa9cc-a619-5ca7-9bb7-c85bf9b9938b,ba6e3b18-bccb-5149-adae-530286c8bd10,1d007c47-798f-595b-9570-0daeec303a7a,2020-12-01T00:00:00,"{""nip"": ""197408082008757111"", ""nuptk"": ""5114457125031452""}",MALE,1986-09-13T00:00:00,0887663440
d8b7c21d-f8af-5c45-a828-90065b406bc1,ba6e3b18-bccb-5149-adae-530286c8bd10,31458943-6a88-5423-b8d4-83b941c52a2e,2018-04-01T00:00:00,"{""nip"": ""197909262020943992"", ""nuptk"": ""4620429300978250""}",MALE,1984-05-01T00:00:00,(0875) 347 7876
d0531f69-6a63-534d-abf9-201dd6a1e87e,ba6e3b18-bccb-5149-adae-530286c8bd10,f51b2c15-01c3-518f-8e3e-167910a58ed8,2013-12-01T00:00:00,"{""nip"": ""199010152020477420"", ""nuptk"": ""2799977506967465""}",FEMALE,1971-08-17T00:00:00,+62 (0571) 784-7267
7443ae89-0ec2-52af-8e13-7202ac374873,ba6e3b18-bccb-5149-adae-530286c8bd10,7c123770-50ab-5e19-aa89-f24b28c20f11,2019-02-01T00:00:00,"{""nip"": ""198507182006971789"", ""nuptk"": ""3852194537830628""}",MALE,1974-12-23T00:00:00,(0513) 627-0107
232861c8-2dc9-5dc2-8285-8ef446fe5271,ba6e3b18-bccb-5149-adae-530286c8bd10,314f7377-8778-5fca-b792-7cf8389d1180,2020-02-01T00:00:00,"{""nip"": ""198605152010546459"", ""nuptk"": ""7557009929970184""}",MALE,1985-08-12T00:00:00,+62-319-084-5205
97dd20dc-d6ee-561e-99e2-ee3fc626909a,ba6e3b18-bccb-5149-adae-530286c8bd10,15eb88a7-606e-5583-a056-e8d16faf45b2,2019-10-01T00:00:00,"{""nip"": ""199307052019114714"", ""nuptk"": ""1001924541209862""}",FEMALE,1997-10-26T00:00:00,+62 (83) 792 9841
1a5d8526-24d1-5b81-b857-0621ef4e53cc,ba6e3b18-bccb-5149-adae-530286c8bd10,4b7ccf9d-a6cd-5941-80ba-bef3c08e740e,2016-03-01T00:00:00,"{""nip"": ""197310022013800949"", ""nuptk"": ""6723253334481195""}",FEMALE,2002-06-22T00:00:00,+62 (94) 866 2836
